prefixed_root,prefixes,unprefixed_root,hom
viBf,vi,Bf,1
viBraMS,vi,BraMS,
viBram,vi,Bram,
viBrAj,vi,BrAj,1
vimaMh,vi,maMh,
vimajj,vi,majj,
vimaT,vi,maT,1
vimad,vi,mad,2
vimadIkf,vimadI,kf,1
viman,vi,man,
vimanT,vi,manT,1
vimA,vi,mA,3
vimAnIkf,vimAnI,kf,1
vimi,vi,mi,1
vimiSr,vi,miSr,
vimuKIkf,vimuKI,kf,1
vimuKIBU,vimuKI,BU,1
vimuc,vi,muc,1
vimuh,vi,muh,1
vimfj,vi,mfj,1
vimfd,vi,mfd,1
vimfS,vi,mfS,1
vimfz,vi,mfz,1
vime,vi,me,1
vimokz,vi,mokz,
vimrit,vi,mrit,
vimlE,vi,mlE,
viyat,vi,yat,2
viyam,vi,yam,
viyA,vi,yA,1
viyu,vi,yu,1
viyuj,vi,yuj,1
virakz,vi,rakz,1
virac,vi,rac,
virajIkf,virajI,kf,1
virajIBU,virajI,BU,1
viraYj,vi,raYj,
viraTIkf,viraTI,kf,1
viraTIBU,viraTI,BU,1
virad,vi,rad,
viram,vi,ram,
viralIkf,viralI,kf,1
viras,vi,ras,1
virasIkf,virasI,kf,1
virasIBU,virasI,BU,1
virah,vi,rah,
virahIkf,virahI,kf,1
virAj,vi,rAj,1
virAD,vi,rAD,
viru,vi,ru,1
viruc,vi,ruc,1
viruj,vi,ruj,1
virud,vi,rud,1
viruD,vi,ruD,2
viruz,vi,ruz,1
viruh,vi,ruh,1
vilakz,vi,lakz,
vilakzIkf,vilakzI,kf,1
vilag,vi,lag,
vilaNG,vi,laNG,
vilajj,vi,lajj,
vilap,vi,lap,1
vilaB,vi,laB,
vilamb,vi,lamb,1
vilas,vi,las,1
viliK,vi,liK,
vilip,vi,lip,
viliS,vi,liS,1
vilih,vi,lih,1
vilI,vi,lI,1
viluYc,vi,luYc,
viluW,vi,luW,2
vilup,vi,lup,1
vivac,vi,vac,
vivad,vi,vad,
vivarR,vi,varR,
vivarD,vi,varD,
vival,vi,val,
vivalg,vi,valg,
vivas,vi,vas,2
vivas,vi,vas,4
vivas,vi,vas,5
vivah,vi,vah,1
vivA,vi,vA,2
vivic,vi,vic,
vivip,vi,vip,1
viviS,vi,viS,
vivf,vi,vf,1
vivft,vi,vft,1
vivfD,vi,vfD,
vive,vi,ve,1
viven,vi,ven,
vivell,vi,vell,
vivyaD,vi,vyaD,
vivraSc,vi,vraSc,
viSaMs,vi,SaMs,
viSaNk,vi,SaNk,
viSadIkf,viSadI,kf,1
viSas,vi,Sas,1
viSAs,vi,SAs,1
viSiYj,vi,SiYj,
viSiz,vi,Siz,1
viSI,vi,SI,1
viSuD,vi,SuD,
viSuB,vi,SuB,1
viSuz,vi,Suz,1
viSfD,vi,SfD,
viSezaRIkf,viSezaRI,kf,1
viSraT,vi,SraT,
viSram,vi,Sram,1
viSramB,vi,SramB,
viSri,vi,Sri,1
viSrIkf,viSrI,kf,1
viSru,vi,Sru,1
viSliz,vi,Sliz,1
viSvas,vi,Svas,1
viSvi,vi,Svi,
viSvit,vi,Svit,1
vizaYj,vi,saYj,1
vizad,vi,sad,2
vizamIkf,vizamI,kf,1
vizamIBU,vizamI,BU,1
vizayIkf,vizayI,kf,1
vizayIBU,vizayI,BU,1
vizah,vi,sah,1
vizic,vi,sic,1
viziv,vi,siv,
vizu,vi,su,1
vizU,vi,sU,1
vizev,vi,sev,
vizo,vi,so,1
vizkamB,vi,skamB,
vizkumB,vi,skumB,
vizwan,vi,stan,
vizwamB,vi,stamB,
vizwu,vi,stu,1
vizwuB,vi,stuB,1
vizWA,vi,sTA,1
vizpf,vi,spf,1
vizyand,vi,syand,
vizvaYj,vi,svaYj,
vizvan,vi,svan,1
visaMvad,vi-sam,vad,
visiD,vi,siD,1
visUtr,vi,sUtr,
visf,vi,sf,
visfj,vi,sfj,1
visfp,vi,sfp,
vistan,vi,stan,
vistf,vi,stf,1
vispand,vi,spand,
visparD,vi,sparD,
vispazwIkf,vispazwI,kf,1
visPAy,vi,sPAy,
visPuw,vi,sPuw,
visPur,vi,sPur,1
visPul,vi,sPul,
visPUrj,vi,sPUrj,
vismi,vi,smi,
vismf,vi,smf,2
visraMs,vi,sraMs,1
visru,vi,sru,
visvan,vi,svan,1
visvap,vi,svap,1
vihan,vi,han,1
vihary,vi,hary,
vihas,vi,has,1
vihA,vi,hA,2
vihA,vi,hA,3
vihiMs,vi,hiMs,1
vihurC,vi,hurC,
vihf,vi,hf,1
viheW,vi,heW,
vihnu,vi,hnu,
vihru,vi,hru,
vihval,vi,hval,
vihve,vi,hve,
vI,vi,i,5
vIkz,vi,Ikz,
vINK,vi,INK,
vIr,vi,Ir,
vIz,vi,Iz,1
vIz,vi,iz,1
vErIBU,vErI,BU,1
vyaktIkf,vyaktI,kf,1
vyaktIBU,vyaktI,BU,1
vyakz,vi,akz,
vyaNgIkf,vyaNgI,kf,1
vyaNgulIkf,vyaNgulI,kf,1
vyac,vi,ac,1
vyaj,vi,aj,
vyajanIkf,vyajanI,kf,1
vyajanIBU,vyajanI,BU,1
vyaYc,vi,aYc,1
vyaYj,vi,aYj,
vyatikram,vi-ati,kram,
vyatigam,vi-ati,gam,1
vyatigA,vi-ati,gA,1
vyaticar,vi-ati,car,
vyatijalp,vi-ati,jalp,
vyatiji,vi-ati,ji,1
vyatitan,vi-ati,tan,1
vyatitF,vi-ati,tF,
vyatinI,vi-ati,nI,2
vyatipaW,vi-ati,paW,
vyatiBA,vi-ati,BA,1
vyatiBU,vi-ati,BU,1
vyatiyA,vi-ati,yA,1
vyatiyu,vi-ati,yu,1
vyatirA,vi-ati,rA,1
vyatiruh,vi-ati,ruh,1
vyatilU,vi-ati,lU,1
vyativah,vi-ati,vah,1
vyativft,vi-ati,vft,1
vyativraj,vi-ati,vraj,
vyatiSI,vi-ati,SI,1
vyatiSF,vi-ati,SF,
vyatisaMdah,vi-ati-sam,dah,1
vyatisfp,vi-ati,sfp,
vyatihan,vi-ati,han,1
vyatihas,vi-ati,has,1
vyatihiMs,vi-ati,hiMs,1
vyatihf,vi-ati,hf,1
vyatI,vi-ati,i,5
vyatyas,vi-ati,as,1
vyatyUh,vi-ati,Uh,1
vyad,vi,ad,1
vyan,vi,an,2
vyanuDA,vi-anu,DA,1
vyanusf,vi-anu,sf,
vyantIkf,vyantI,kf,1
vyanvAraB,vi-anu-A,raB,
vyapakfz,vi-apa,kfz,1
vyapakram,vi-apa,kram,
vyapagam,vi-apa,gam,1
vyapatrap,vi-apa,trap,
vyapadiS,vi-apa,diS,1
vyapanI,vi-apa,nI,2
vyapanud,vi-apa,nud,
vyapamuc,vi-apa,muc,1
vyapayA,vi-apa,yA,1
vyapavft,vi-apa,vft,1
vyapasf,vi-apa,sf,
vyapasfj,vi-apa,sfj,1
vyapasfp,vi-apa,sfp,
vyapasPur,vi-apa,sPur,1
vyapahan,vi-apa,han,1
vyapahf,vi-apa,hf,1
vyapAnud,vi-apa-A,nud,
vyapASri,vi-apa-A,Sri,1
vyapAhf,vi-apa-A,hf,1
vyape,vi-apa-A,i,5
vyapekz,vi-apa,Ikz,
vyapoh,vi-apa-A,Uh,1
vyaBicar,vi-aBi,car,
vyayIkf,vyayI,kf,1
vyarTIkf,vyarTI,kf,1
vyarTIBU,vyarTI,BU,1
vyard,vi,ard,
vyavakfz,vi-ava,kfz,1
vyavakF,vi-ava,kF,1
vyavagam,vi-ava,gam,1
vyavagAh,vi-ava,gAh,
vyavacCid,vi-ava,Cid,
vyavadru,vi-ava,dru,1
vyavaDA,vi-ava,DA,1
vyavaDAv,vi-ava,DAv,1
vyavaDU,vi-ava,DU,1
vyavaDf,vi-ava,Df,
vyavapad,vi-ava,pad,1
vyavaBakz,vi-ava,Bakz,
vyavaruh,vi-ava,ruh,1
vyavalI,vi-ava,lI,1
vyavavad,vi-ava,vad,
vyavavid,vi-ava,vid,1
vyavavlI,vi-ava,vlI,
vyavaScut,vi-ava,Scut,1
vyavasad,vi-ava,sad,2
vyavasfj,vi-ava,sfj,1
vyavasfp,vi-ava,sfp,
vyavaso,vi-ava,so,1
vyavastuB,vi-ava,stuB,1
vyavasTA,vi-ava,sTA,1
vyavasraMs,vi-ava,sraMs,1
vyavasru,vi-ava,sru,
vyavahf,vi-ava,hf,1
vyave,vi-ava-A,i,5
vyas,vi,as,2
vyasanIkf,vyasanI,kf,1
vyAkulIkf,vyAkulI,kf,1
vyAkulIBU,vyAkulI,BU,1
vyAkf,vi-A,kf,1
vyAkfz,vi-A,kfz,1
vyAkoSIkf,vyAkoSI,kf,1
vyAkruS,vi-A,kruS,
vyAkzip,vi-A,kzip,1
vyAKyA,vi-A,KyA,
vyAGUrR,vi-A,GUrR,
vyAGrA,vi-A,GrA,
vyAcakz,vi-A,cakz,
vyAjIkf,vyAjI,kf,1
vyAjfmB,vi-A,jfmB,
vyAtan,vi-A,tan,1
vyAdA,vi-A,dA,1
vyAdiS,vi-A,diS,1
vyADU,vi-A,DU,1
vyAnam,vi-A,nam,
vyAnamrIkf,vyAnamrI,kf,1
vyAnI,vi-A,nI,2
vyAp,vi,Ap,1
vyApad,vi-A,pad,1
vyApf,vi-A,pf,1
vyAbAD,vi-A,bAD,
vyABAz,vi-A,BAz,1
vyAmuc,vi-A,muc,1
vyAmuh,vi-A,muh,1
vyAyam,vi-A,yam,
vyAlamb,vi-A,lamb,1
vyAliK,vi-A,liK,
vyAlup,vi-A,lup,1
vyAvalg,vi-A,valg,
vyAviS,vi-A,viS,
vyAvf,vi-A,vf,1
vyAvf,vi-A,vf,1
vyAvft,vi-A,vft,1
vyAvyaD,vi-A,vyaD,
vyAsaYj,vi-A,saYj,1
vyAsic,vi-A,sic,1
vyAsiD,vi-A,siD,1
vyAsf,vi-A,sf,
vyAhan,vi-A,han,1
vyAhf,vi-A,hf,1
vyAhve,vi-A,hve,
vyu,vi,u,4
vyukz,vi,ukz,1
vyuccar,vi-ud,car,
vyucCid,vi-ud,Cid,
vyutkram,vi-ud,kram,
vyutTA,vi-ud,sTA,1
vyutpad,vi-ud,pad,1
vyutsad,vi-ud,sad,2
vyutsic,vi-ud,sic,1
vyutsfj,vi-ud,sfj,1
vyutsfp,vi-ud,sfp,
vyud,vi,ud,2
vyudas,vi-ud,as,1
vyudUh,vi-ud,Uh,1
vyudDf,vi-ud,hf,1
vyupanI,vi-upa,nI,2
vyupayuj,vi-upa,yuj,1
vyuparam,vi-upa,ram,
vyupaviS,vi-upa,viS,
vyupaSam,vi-upa,Sam,1
vyupAram,vi-upa-A,ram,
vyupAs,vi-upa-A,as,1
vyupe,vi-upa-A,i,5
vyubj,vi,ubj,
vyUrRu,vi,UrRu,
vyUh,vi,Uh,1
vyUh,vi,Uh,1
vyUhIkf,vyUhI,kf,1
vyf,vi,f,4
vyfC,vi,fC,
vyfz,vi,fz,1
vyfz,vi,fz,1
SakalAkf,SakalA,kf,1
SakalIkf,SakalI,kf,1
SakalIBU,SakalI,BU,1
SataguRIBU,SataguRI,BU,1
SataBaNgIBU,SataBaNgI,BU,1
SabarIBU,SabarI,BU,1
SambAkf,SambA,kf,1
SayanIkf,SayanI,kf,1
SaraRIkf,SaraRI,kf,1
SarIkf,SarI,kf,1
SarIrIBU,SarIrI,BU,1
SaSIBU,SaSI,BU,1
SAkarasIkf,SAkarasI,kf,1
SAlInIkf,SAlInI,kf,1
SiTilIkf,SiTilI,kf,1
SiTilIBU,SiTilI,BU,1
SilIBU,SilI,BU,1
SiSirIkf,SiSirI,kf,1
SiSirIBU,SiSirI,BU,1
SizyIkf,SizyI,kf,1
SItalIkf,SItalI,kf,1
SItalIBU,SItalI,BU,1
SItIkf,SItI,kf,1
SItIBU,SItI,BU,1
SItkf,SIt,kf,1
SIrRIkf,SIrRI,kf,1
SukIBU,SukI,BU,1
SukrIBU,SukrI,BU,1
SuklIkf,SuklI,kf,1
SuklIBU,SuklI,BU,1
SucIkf,SucI,kf,1
SucIBU,SucI,BU,1
SuBIkf,SuBI,kf,1
SuBrIBU,SuBrI,BU,1
SUdrIBU,SUdrI,BU,1
SUnyIkf,SUnyI,kf,1
SUnyIBU,SUnyI,BU,1
SUrIkf,SUrI,kf,1
SUlAkf,SUlA,kf,1
SeKarIkf,SeKarI,kf,1
SeKarIBU,SeKarI,BU,1
SezIBU,SezI,BU,1
SoRIkf,SoRI,kf,1
SyAmalIkf,SyAmalI,kf,1
SyAmIkf,SyAmI,kf,1
SyAmIBU,SyAmI,BU,1
SyetIkf,SyetI,kf,1
Sratkf,Srat,kf,1
SradDA,Srat,DA,1
SrotriyasAtkf,SrotriyasAt,kf,1
SlakzRIkf,SlakzRI,kf,1
SlaTIkf,SlaTI,kf,1
saMkaT,sam,kaT,
saMkamp,sam,kamp,
saMkarIkf,saMkarI,kf,1
saMkal,sam,kal,2
saMkal,sam,kal,1
saMkAS,sam,kAS,
saMkIrt,sam,kIrt,
saMkuc,sam,kuc,
saMkuYc,sam,kuYc,
saMkup,sam,kup,1
saMkf,sam,kf,1
saMkfz,sam,kfz,1
saMkF,sam,kF,1
saMkxp,sam,kxp,
saMketIkf,saMketI,kf,1
saMkram,sam,kram,
saMkramIkf,saMkramI,kf,1
saMkrI,sam,krI,1
saMkrIq,sam,krIq,
saMkruD,sam,kruD,1
saMkruS,sam,kruS,
saMkliS,sam,kliS,
saMkzap,sam,kzap,1
saMkzar,sam,kzar,
saMkzi,sam,kzi,2
saMkzi,sam,kzi,4
saMkzip,sam,kzip,1
saMkzud,sam,kzud,1
saMkzRu,sam,kzRu,
saMKAd,sam,KAd,
saMKid,sam,Kid,
saMKyA,sam,KyA,
saMgam,sam,gam,1
saMgarj,sam,garj,
saMgA,sam,gA,1
saMgAh,sam,gAh,
saMgF,sam,gF,1
saMgF,sam,gF,2
saMgE,sam,gE,
saMgras,sam,gras,1
saMgrah,sam,grah,
saMGaw,sam,Gaw,
saMGaww,sam,Gaww,
saMGIBU,saMGI,BU,1
saMGfz,sam,Gfz,2
saMcakz,sam,cakz,
saMcar,sam,car,
saMcal,sam,cal,
saMci,sam,ci,1
saMcit,sam,cit,4
saMcint,sam,cint,
saMcUrR,sam,cUrR,
saMcft,sam,cft,
saMcezw,sam,cezw,
saMCid,sam,Cid,
saMjan,sam,jan,
saMjap,sam,jap,
saMjalp,sam,jalp,
saMji,sam,ji,1
saMjIv,sam,jIv,
saMjUrv,sam,jUrv,
saMjfmB,sam,jfmB,
saMjF,sam,jF,1
saMjF,sam,jF,2
saMjYA,sam,jYA,1
saMjYopasarjanIBU,saMjYopasarjanI,BU,1
saMjvar,sam,jvar,
saMjval,sam,jval,
saMtakz,sam,takz,1
saMtaq,sam,taq,
saMtan,sam,tan,1
saMtap,sam,tap,1
saMtam,sam,tam,
saMtark,sam,tark,
saMtud,sam,tud,1
saMtul,sam,tul,
saMtuz,sam,tuz,
saMtfd,sam,tfd,
saMtfp,sam,tfp,1
saMtF,sam,tF,
saMtyaj,sam,tyaj,1
saMtras,sam,tras,1
saMtvar,sam,tvar,
saMdaMS,sam,daMS,1
saMdas,sam,das,
saMdah,sam,dah,1
saMdA,sam,dA,1
saMdA,sam,dA,1
saMdA,sam,dA,1
saMdiS,sam,diS,1
saMdih,sam,dih,1
saMdIp,sam,dIp,
saMduz,sam,duz,2
saMduh,sam,duh,1
saMdru,sam,dru,1
saMDanv,sam,Danv,
saMDA,sam,DA,1
saMDAv,sam,DAv,1
saMDAv,sam,DAv,2
saMDukz,sam,Dukz,
saMDU,sam,DU,1
saMDf,sam,Df,
saMDyE,sam,DyE,
saMnad,sam,nad,
saMnam,sam,nam,
saMnard,sam,nard,
saMnas,sam,nas,2
saMnah,sam,nah,1
saMnikzip,sam-ni,kzip,1
saMnigam,sam-ni,gam,1
saMnigrah,sam-ni,grah,
saMniGfz,sam-ni,Gfz,2
saMniDA,sam-ni,DA,1
saMnipat,sam-ni,pat,1
saMnibuD,sam-ni,buD,
saMnimajj,sam-ni,majj,
saMnimantr,sam-ni,mantr,
saMnimIl,sam-ni,mIl,
saMniyam,sam-ni,yam,
saMniyuj,sam-ni,yuj,1
saMniruD,sam-ni,ruD,1
saMnirgam,sam-nis,gam,1
saMnirvap,sam-nis,vap,1
saMnilI,sam-ni,lI,1
saMnivap,sam-ni,vap,1
saMnivas,sam-ni,vas,2
saMnivas,sam-ni,vas,2
saMniviS,sam-ni,viS,
saMnivft,sam-ni,vft,1
saMnizad,sam-ni,sad,2
saMnizic,sam-ni,sic,1
saMnihan,sam-ni,han,1
saMnI,sam,nI,2
saMnu,sam,nu,3
saMnu,sam,nu,3
saMnud,sam,nud,
saMnft,sam,nft,1
saMnyas,sam-ni,as,1
saMyaj,sam,yaj,1
saMyat,sam,yat,2
saMyam,sam,yam,
saMyas,sam,yas,
saMyA,sam,yA,1
saMyAc,sam,yAc,
saMyu,sam,yu,2
saMyuj,sam,yuj,1
saMyuD,sam,yuD,1
saMrakz,sam,rakz,1
saMraYj,sam,raYj,
saMraB,sam,raB,
saMram,sam,ram,
saMrAj,sam,rAj,1
saMrI,sam,rI,1
saMru,sam,ru,1
saMruc,sam,ruc,1
saMruj,sam,ruj,1
saMruD,sam,ruD,2
saMruh,sam,ruh,1
saMrej,sam,rej,1
saMlakz,sam,lakz,
saMlaNG,sam,laNG,
saMlajj,sam,lajj,
saMlap,sam,lap,1
saMlaB,sam,laB,
saMliK,sam,liK,
saMlih,sam,lih,1
saMlI,sam,lI,1
saMlup,sam,lup,1
saMluB,sam,luB,
saMlok,sam,lok,
saMvac,sam,vac,
saMvaYc,sam,vaYc,
saMvad,sam,vad,
saMvand,sam,vand,
saMvap,sam,vap,2
saMvarR,sam,varR,
saMvalg,sam,valg,
saMvas,sam,vas,4
saMvas,sam,vas,5
saMvah,sam,vah,1
saMvA,sam,vA,2
saMvAYC,sam,vAYC,
saMvicint,sam-vi,cint,
saMvij,sam,vij,1
saMvijYA,sam-vi,jYA,1
saMvitark,sam-vi,tark,
saMvid,sam,vid,1
saMvid,sam,vid,1
saMviDA,sam-vi,DA,1
saMviBaj,sam-vi,Baj,
saMviBA,sam-vi,BA,1
saMviBAgIkf,saMviBAgI,kf,1
saMvirAj,sam-vi,rAj,1
saMvivfD,sam-vi,vfD,
saMviS,sam,viS,
saMvisfj,sam-vi,sfj,1
saMvihas,sam-vi,has,1
saMvihf,sam-vi,hf,1
saMvihval,sam-vi,hval,
saMvIkz,sam-vi,Ikz,
saMvf,sam,vf,1
saMvf,sam,vf,1
saMvfj,sam,vfj,1
saMvft,sam,vft,1
saMvfD,sam,vfD,
saMvfz,sam,vfz,
saMve,sam,ve,1
saMvezw,sam,vezw,
saMvyac,sam,vyac,
saMvyaT,sam,vyaT,
saMvyaD,sam,vyaD,
saMvye,sam,vye,
saMvraj,sam,vraj,
saMvraSc,sam,vraSc,
saMSaMs,sam,SaMs,
saMSak,sam,Sak,
saMSaNk,sam,SaNk,
saMSap,sam,Sap,3
saMSam,sam,Sam,1
saMSAs,sam,SAs,1
saMSiYj,sam,SiYj,
saMSI,sam,SI,1
saMSuc,sam,Suc,1
saMSuD,sam,SuD,
saMSuB,sam,SuB,1
saMSuz,sam,Suz,1
saMSF,sam,SF,
saMSo,sam,So,
saMSyE,sam,SyE,
saMSri,sam,Sri,1
saMSrI,sam,SrI,1
saMSru,sam,Sru,1
saMSlAG,sam,SlAG,
saMSliz,sam,Sliz,1
saMSlok,sam,Slok,
saMsaMyu,sam-sam,yu,2
saMsac,sam,sac,1
saMsaYj,sam,saYj,1
saMsad,sam,sad,2
saMsan,sam,san,1
saMsah,sam,sah,1
saMsic,sam,sic,1
saMsiD,sam,siD,3
saMsiv,sam,siv,
saMsu,sam,su,3
saMsU,sam,sU,1
saMsUc,sam,sUc,
saMsf,sam,sf,
saMsfj,sam,sfj,1
saMsfp,sam,sfp,
saMsev,sam,sev,
saMskand,sam,skand,
saMskf,saMs,kf,1
saMstamB,sam,stamB,
saMstu,sam,stu,1
saMstf,sam,stf,1
saMstF,sam,stF,1
saMsTA,sam,sTA,1
saMspand,sam,spand,
saMsparD,sam,sparD,
saMspfS,sam,spfS,1
saMspfh,sam,spfh,1
saMsPur,sam,sPur,1
saMsmi,sam,smi,
saMsmf,sam,smf,2
saMsyand,sam,syand,
saMsru,sam,sru,
saMsvaYj,sam,svaYj,
saMsvf,sam,svf,
saMhan,sam,han,1
saMhA,sam,hA,2
saMhA,sam,hA,2
saMhi,sam,hi,1
saMhu,sam,hu,1
saMhf,sam,hf,1
saMhfz,sam,hfz,
saMhrAd,sam,hrAd,
saMhve,sam,hve,
sakalIkf,sakalI,kf,1
sakalIviDA,sakalI-vi,DA,1
sajjIkf,sajjI,kf,1
sajjIBU,sajjI,BU,1
sajyIkf,sajyI,kf,1
satkf,sat,kf,1
sattrIBU,sattrI,BU,1
satyAkf,satyA,kf,1
sanATIkf,sanATI,kf,1
sapattrAkf,sapattrA,kf,1
sapiRqIkf,sapiRqI,kf,1
saPalIkf,saPalI,kf,1
saPalIBU,saPalI,BU,1
samacCedIkf,samacCedI,kf,1
samaj,sam,aj,
samaYj,sam,aYj,
samat,sam,at,2
samatikram,sam-ati,kram,
samatipraSaMs,sam-ati-pra,SaMs,
samatiyA,sam-ati,yA,1
samativft,sam-ati,vft,1
samatI,sam-ati,i,5
samad,sam,ad,1
samaDigam,sam-aDi,gam,1
samaDiruh,sam-aDi,ruh,1
samaDiSri,sam-aDi,Sri,1
samaDizWA,sam-aDi,sTA,1
samaDisfp,sam-aDi,sfp,
samaDI,sam-aDi,i,5
samaDyAs,sam-aDi,As,2
saman,sam,an,2
samanukamp,sam-anu,kamp,
samanugam,sam-anu,gam,1
samanugE,sam-anu,gE,
samanugrah,sam-anu,grah,
samanucint,sam-anu,cint,
samanujan,sam-anu,jan,
samanujYA,sam-anu,jYA,1
samanudiS,sam-anu,diS,1
samanudru,sam-anu,dru,1
samanuDAv,sam-anu,DAv,1
samanuDyE,sam-anu,DyE,
samanupad,sam-anu,pad,1
samanupaS,sam-anu,paS,3
samanupAl,sam-anu,pAl,
samanupraC,sam-anu,praC,
samanuprAp,sam-anu-prA,Ap,1
samanuBU,sam-anu,BU,1
samanuman,sam-anu,man,
samanuyA,sam-anu,yA,1
samanuvas,sam-anu,vas,2
samanuvIkz,sam-anu-vi,Ikz,
samanuvft,sam-anu,vft,1
samanuvraj,sam-anu,vraj,
samanuSAs,sam-anu,SAs,1
samanuSuc,sam-anu,Suc,1
samanusfp,sam-anu,sfp,
samanusmf,sam-anu,smf,2
samanusvf,sam-anu,svf,
samanvAraB,sam-anu-A,raB,
samanvAruh,sam-anu-A,ruh,1
samanvi,sam-anu,i,5
samanviz,sam-anu,iz,1
samanviz,sam-anu,iz,1
samapacCid,sam-apa,Cid,
samapaDyE,sam-apa,DyE,
samapAvf,sam-apa-A,vf,1
samapiruh,sam-api,ruh,1
samapoh,sam-apa-A,Uh,1
samaBigam,sam-aBi,gam,1
samaBigarj,sam-aBi,garj,
samaBiguh,sam-aBi,guh,1
samaBijan,sam-aBi,jan,
samaBitarj,sam-aBi,tarj,
samaBityaj,sam-aBi,tyaj,1
samaBidru,sam-aBi,dru,1
samaBiDAv,sam-aBi,DAv,1
samaBiDyE,sam-aBi,DyE,
samaBinand,sam-aBi,nand,
samaBipat,sam-aBi,pat,1
samaBipad,sam-aBi,pad,1
samaBipAl,sam-aBi,pAl,
samaBipIq,sam-aBi,pIq,
samaBipUj,sam-aBi,pUj,
samaBiprekz,sam-aBipra-A,Ikz,
samaBiplu,sam-aBi,plu,
samaBiBAz,sam-aBi,BAz,1
samaBiyA,sam-aBi,yA,1
samaBiyAc,sam-aBi,yAc,
samaBiraYj,sam-aBi,raYj,
samaBiruh,sam-aBi,ruh,1
samaBilaz,sam-aBi,laz,
samaBivAYC,sam-aBi,vAYC,
samaBivIkz,sam-aBi-vi,Ikz,
samaBivft,sam-aBi,vft,1
samaBivfD,sam-aBi,vfD,
samaBivfz,sam-aBi,vfz,
samaBivyAhf,sam-aBi-vi-A,hf,1
samaBiSuB,sam-aBi,SuB,1
samaBizic,sam-aBi,sic,1
samaBizwu,sam-aBi,stu,1
samaBizWA,sam-aBi,sTA,1
samaBizyand,sam-aBi,syand,
samaBisaMDA,sam-aBi-sam,DA,1
samaBisf,sam-aBi,sf,
samaBihf,sam-aBi,hf,1
samaBI,sam-aBi,i,5
samaByatikram,sam-aBi-ati,kram,
samaByarc,sam-aBi,arc,1
samaByarT,sam-aBi,arT,
samaByavagA,sam-aBi-ava,gA,1
samaByave,sam-aBi-ava-A,i,5
samaByas,sam-aBi,as,1
samaByAgam,sam-aBi-A,gam,1
samaByAgA,sam-aBi-A,gA,1
samaByAdA,sam-aBi-A,dA,1
samaByAnI,sam-aBi-A,nI,2
samaByutTA,sam-aBi-ud,sTA,1
samaByudDf,sam-aBi-ud,hf,1
samaByupe,sam-aBi-upa-A,i,5
samaBye,sam-aBi-A,i,5
samayAkf,samayA,kf,1
samayIkf,samayI,kf,1
samarc,sam,arc,1
samarT,sam,arT,
samalaMkf,samalaM,kf,1
samalIkf,samalI,kf,1
samav,sam,av,
samavakF,sam-ava,kF,1
samavakzip,sam-ava,kzip,1
samavagam,sam-ava,gam,1
samavaguh,sam-ava,guh,1
samavacCad,sam-ava,Cad,1
samavadiS,sam-ava,diS,1
samavado,sam-ava,do,
samavadru,sam-ava,dru,1
samavaDA,sam-ava,DA,1
samavanI,sam-ava,nI,2
samavapIq,sam-ava,pIq,
samavabuD,sam-ava,buD,
samavamfS,sam-ava,mfS,1
samavaruD,sam-ava,ruD,1
samavalamb,sam-ava,lamb,1
samavalI,sam-ava,lI,1
samavalok,sam-ava,lok,
samavasf,sam-ava,sf,
samavasfj,sam-ava,sfj,1
samavaso,sam-ava,so,1
samavAp,sam-ava-A,Ap,1
samavArj,sam-ava,fj,
samave,sam-ava-A,i,5
samavekz,sam-ava,Ikz,
samas,sam,as,1
samas,sam,as,1
samAkarR,sam-A,karR,
samAkANkz,sam-A,kANkz,
samAkf,sam-A,kf,1
samAkfz,sam-A,kfz,1
samAkF,sam-A,kF,1
samAkrand,sam-A,krand,
samAkram,sam-A,kram,
samAkrIq,sam-A,krIq,
samAkzip,sam-A,kzip,1
samAKyA,sam-A,KyA,
samAgam,sam-A,gam,1
samAGrA,sam-A,GrA,
samAcakz,sam-A,cakz,
samAcar,sam-A,car,
samAci,sam-A,ci,1
samAtan,sam-A,tan,1
samAdA,sam-A,dA,1
samAdiS,sam-A,diS,1
samAdru,sam-A,dru,1
samADA,sam-A,DA,1
samADAv,sam-A,DAv,1
samADmA,sam-A,DmA,
samADyE,sam-A,DyE,
samAnI,sam-A,nI,2
samAp,sam,Ap,1
samApat,sam-A,pat,1
samApad,sam-A,pad,1
samApA,sam-A,pA,1
samApU,sam-A,pU,1
samApyE,sam-A,pyE,
samAplu,sam-A,plu,
samABA,sam-A,BA,1
samABAz,sam-A,BAz,1
samABuj,sam-A,Buj,1
samABf,sam-A,Bf,1
samAmantr,sam-A,mantr,
samAmnA,sam-A,mnA,
samAyam,sam-A,yam,
samAyA,sam-A,yA,1
samAyu,sam-A,yu,1
samAyuj,sam-A,yuj,1
samAraB,sam-A,raB,
samArAD,sam-A,rAD,
samAruh,sam-A,ruh,1
samAlap,sam-A,lap,1
samAlaB,sam-A,laB,
samAlamb,sam-A,lamb,1
samAliK,sam-A,liK,
samAliNg,sam-A,liNg,
samAlip,sam-A,lip,
samAlok,sam-A,lok,
samAloc,sam-A,loc,
samAvad,sam-A,vad,
samAvap,sam-A,vap,1
samAvas,sam-A,vas,5
samAvah,sam-A,vah,1
samAviS,sam-A,viS,
samAvf,sam-A,vf,1
samAvfj,sam-A,vfj,1
samAvft,sam-A,vft,1
